мочь:могла:11.758043 ,кромбыть:11.780991 ,моод:12.035506 ,можетбыть:12.094949999999999 ,узнаетбыть:12.410347 ,смочь:12.427335 ,невозможнотец:12.580504999999999 ,могут:12.669633999999999 ,ка́кать:12.761786 ,нет-с:12.848771 ,придумаю:12.913149 ,..мочь:13.009658000000002 ,можешь:13.045394 ,любитбыть:13.099518 ,смогу:13.123012 ,возможнотец:13.182743 ,вполне:13.238289000000002 ,угоднотец:13.246601 ,мог:13.275496 ,суметь:13.27824 ,могли:13.330734999999999 ,инобыть:13.351590999999999 ,мечталовек:13.382031000000001 ,можем:13.386177 ,некстати:13.401535 ,пудать:13.442453 ,по-божески:13.459697000000002 ,моглотец:13.460373 ,позволять:13.466686999999999 ,другобыть:13.479787
год:гектодар:10.582149000000001 ,-декабрь:11.460709 ,февраоль:11.501515 ,го-да:11.623485 ,ноябре:11.964324 ,декабре:11.974765000000001 ,-сентябрь:12.056319 ,январе:12.134732000000001 ,го-д:12.202428 ,месяцевек:12.206487 ,месяц:12.225791000000001 ,г[од:12.254999999999999 ,годах:12.308905 ,п.ругой:12.336351 ,2000од:12.368635 ,четырехлетие:12.417098 ,-август:12.459349 ,м„:12.473612999999999 ,десятилетие:12.494563 ,летинский:12.529250999999999 ,т.од:12.542232 ,четвертого:12.672830000000001 ,соедтраница:12.689295 ,январе-февраль:12.698291000000001 ,n9:12.721433 ,года:12.728577999999999 ,ноябре-декабрь:12.730393 ,года>:12.743443 ,полгода:12.759457000000001 ,позапрошлый:12.759643
человек:человекомя:11.316967 ,человек-с:12.127661 ,людямя:12.571262 ,людей:12.59687 ,человеколо:12.853987 ,человека:13.134961 ,человечествотец:13.142135 ,добрых:13.158117 ,женщина:13.161992 ,люди:13.171425 ,людьми:13.21385 ,злых:13.214362999999999 ,поживший:13.326849000000001 ,нелюдить:13.354762000000001 ,сердцемтраница:13.369528 ,человек”:13.414047 ,чувствующий:13.424128 ,мужчина:13.444044000000002 ,манкурт:13.507987 ,любя:13.510200000000001 ,привык:13.522267 ,двуногое:13.535291 ,полупомешанный:13.543997999999998 ,зверюг:13.581122 ,таким:13.585716999999999 ,ропщить:13.607792 ,верят:13.623468 ,себялюбец:13.685839999999999 ,ближних:13.714351 ,скверноотреть:13.715447000000001
сказать:говорить:9.933691 ,сказалотреть:11.224343 ,проговаривать:11.294468 ,проговорить:11.34181 ,скажитеотреть:11.725691 ,отвечать:11.748415999999999 ,объясню:11.765763 ,скажуотреть:11.866586999999999 ,промолвить:11.898413000000001 ,произнести:11.944249 ,приходите:11.947222 ,зайду:11.961917 ,поговорю:11.962375 ,спрашивать:11.976201 ,поможем:12.016612000000002 ,помогу:12.019786 ,проговорь:12.022436 ,расспроси:12.026017 ,молчу:12.083842 ,-отвечать:12.105697 ,сказали:12.154732 ,возражать:12.163293 ,борь:12.167402 ,впрочемя:12.172322000000001 ,нынчбыть:12.181920999999999 ,сказалтраница:12.189732 ,встретимся:12.200366 ,поняла:12.275407999999999 ,поддразнить:12.302403000000002 ,распечь:12.312691999999998
говорить:сказать:9.933691 ,скажуотреть:11.283211999999999 ,молчу:11.402009 ,делаем:11.691334999999999 ,любите:11.711019 ,толковать:11.765327 ,говоря:11.770868 ,сказалотреть:11.796026 ,заговаривать:11.89415 ,говоришь:11.906087 ,танть:11.916685000000001 ,понимаем:11.918417000000002 ,говорю:11.961179000000001 ,сказали:12.000217000000001 ,впрочемя:12.026029 ,говорит:12.075949000000001 ,говоритбыть:12.121891000000002 ,помнишь:12.161278 ,скаж:12.201573999999999 ,расспроси:12.216746 ,объясню:12.223431999999999 ,рассудит:12.232834 ,плачь:12.240376000000001 ,такие:12.244997999999999 ,таких:12.298367 ,решили:12.310053 ,читаю:12.320687 ,поможем:12.327141000000001 ,я-с:12.338421 ,отстань:12.349757
время:сириусе:13.499538000000001 ,пора:13.558993000000001 ,сроки:13.814008 ,момент:13.876653999999998 ,срокитраница:13.891352999999999 ,промежуток:13.962806 ,четырехлетие:13.980751999999999 ,час-другой:13.990849999999998 ,эпоха:14.010568 ,сферетраница:14.045636 ,период:14.048644 ,междуцарствие:14.099843 ,год-полтор:14.150288999999999 ,полустолетие:14.15817 ,репортерство:14.215056 ,мирное:14.267461999999998 ,жениховство:14.309275 ,пересменка:14.312342000000001 ,периодемик:14.329728 ,московское:14.376354 ,кризисяча:14.390217999999999 ,британии:14.400127999999999 ,минута:14.427972 ,святк:14.462469000000002 ,шансяча:14.470258 ,просыпание:14.475567 ,бегства:14.48356 ,чред:14.500810000000001 ,ведущаяся:14.50142 ,временута:14.510492
знать:понимать:11.172315 ,знаю:11.874293 ,знаетбыть:11.897026 ,знали:11.921285000000001 ,напридумать:12.095194 ,знаемя:12.096463 ,помнить:12.167705000000002 ,узнавать:12.172640999999999 ,догадываться:12.211213 ,кто-кто:12.360446999999999 ,сговорать:12.40333 ,знала:12.420238000000001 ,зналовек:12.422863 ,навыдумывать:12.475059 ,свете-вать:12.590447000000001 ,понимаетбыть:12.604764 ,умалчивал:12.684339999999999 ,непонятнотец:12.711594999999999 ,узнаетбыть:12.728425999999999 ,осведомлать:12.755862 ,слыхалотреть:12.760972 ,любите:12.762647999999999 ,хотитбыть:12.763715999999999 ,припомни:12.767294 ,думаловек:12.769881 ,сыятелство:12.771396 ,накуролесить:12.795023 ,забудь:12.797483999999999 ,умен:12.804047 ,доспеться:12.83259
дело:делотец:11.509936 ,дела:12.03065 ,деламя:12.096073 ,дело:12.164779 ,делами:12.306448 ,деломя:12.908777999999998 ,деловек:13.058456 ,дел:13.225401999999999 ,делишки:13.380847999999999 ,адвокатурый:13.508345 ,делах:13.600128 ,делам:13.820892 ,делом:13.843809 ,дело-с:13.844579 ,компетентный:13.954958 ,юстиции:13.982588999999999 ,делу:14.034775999999999 ,деле:14.062531 ,дельце:14.067433999999999 ,пользе:14.077776 ,вопросомя:14.120002999999999 ,ка́кать:14.172519000000001 ,подсудный:14.214554 ,вполнбыть:14.215205000000001 ,прикосновеннодать:14.27631 ,сути:14.282907999999999 ,промолча:14.284435 ,касательств:14.296489000000001 ,синодом:14.311159 ,сысок:14.338985999999998
делать:сделать:9.981016 ,делать:12.035495000000001 ,сделавша:12.863423 ,делаловек:13.365611999999999 ,сделаноотреть:13.567591000000002 ,делали:13.770907000000001 ,сделалотреть:13.781085000000001 ,этих:14.268877 ,сделала:14.379404999999998 ,отвиливать:14.403827 ,напрактиковаться:14.407483 ,скорчивать:14.414792 ,посоветуй:14.425782000000002 ,проделывать:14.452693 ,совершать:14.465486 ,сделал:14.470507000000001 ,ретуша:14.487752 ,писали:14.510214000000001 ,предпринимать:14.521333 ,дилетантый:14.529384 ,уцелевать:14.541192 ,полезным:14.542037 ,касается:14.553878999999998 ,примерчик:14.555003 ,делаю:14.565293999999998 ,произошлоий:14.575812 ,оболванить:14.593717999999999 ,пустяка:14.605440000000002 ,предприй:14.625850000000002 ,делаться:14.628260999999998
день:неделя:11.134671 ,утро:11.673408 ,днемя:11.744206 ,вечер:12.071909000000002 ,месяц:12.089898999999999 ,воскресенье:12.099384 ,полдень:12.316512 ,днямя:12.367587999999998 ,часу:12.461071 ,днями:12.629761 ,час:12.651363 ,суббота:12.678381 ,бюллетеню:12.766304000000002 ,шестидневка:12.796648999999999 ,плоешти:12.801473999999999 ,двухлетие:12.806038 ,седьмица:12.815550000000002 ,денек:12.870153 ,ночь:12.909929000000002 ,дня:12.936228999999999 ,заговенье:12.972705000000001 ,спавша:13.041884000000001 ,успенье:13.048264000000001 ,пополудни:13.075193 ,обедный:13.086338999999999 ,сутки:13.095251000000001 ,полмесяца:13.111891 ,четверод:13.167656999999998 ,денечок:13.177555000000002 ,неделю:13.227111
жизнь:жизни:11.13174 ,жизнью:12.413321 ,бытие:12.867844 ,существованье:12.958020000000001 ,быт:13.017168999999999 ,существования:13.209557 ,жизнепонимания:13.252369 ,богоподобие:13.292382 ,думя:13.340764 ,существование:13.358681999999998 ,блаженства:13.359203 ,жиздывать:13.366827 ,предощущать:13.388859 ,жизнеощущение:13.412135 ,скитальчество:13.516051999999998 ,устроенность:13.52336 ,странничество:13.553379 ,прозябание:13.561573 ,существованию:13.564046000000001 ,жизнепониманий:13.571808 ,ежедневность:13.574445999999998 ,удручинать:13.675736 ,самоистязаний:13.688655 ,ценностями:13.735809999999999 ,чред:13.750465 ,любовь:13.768645 ,жизня:13.769619 ,самовоспитаний:13.773281 ,быстротечности:13.779509000000001 ,юность:13.796024
